Word	Lemma	Part of Speech	Gloss
cynerica	cynerīce	n.n.gen.pl	of kingdoms
cyning	cyning	n.m.nom.sg	king
cyning	cyning	n.m.nom.sg	king
cyning	cyning	n.m.nom.sg	king
cynn	cynn	n.n.acc.sg	race, tribe
cynne	cynn	n.n.dat.sg	tribe, race, people
cynnes	cynn	n.n.gen.sg	of kind, of race
cystum	cyst	n.f.dat.pl	with excellences, with generosities
Dēanum	Dēanas	n.m.dat.pl	the Danes
Denum	Dene	n.m.dat.pl	the Danes
dohte	dugan	v.pret.3sg	was good, was kind
dohten	dugan	v.pret.pl	were good, were kind
dohtor	dohtor	n.f.nom.sg	daughter
dōm	dōm	n.m.acc.sg	glory, judgment
dōm	dōm	n.m.acc.sg	glory, judgment
Ðonan	þonan	adv	thence, from there
Ðonne	þonne	adv	then
dryhtcwēn	dryhtcwēn	n.f.nom.sg	noble queen
duguþe	duguþ	n.f.gen.sg	of the nobility
duguþe	duguþ	n.f.dat.sg	nobility, warriors
Eadgilse	Eadgils	n.m.dat.sg	(to) Eadgils
Eadwine	Eadwine	n.m.acc.sg	Edwin (name)
Eadwines	Eadwine	n.m.gen.sg	of Edwin
Eadwines	Eadwine	n.m.gen.sg	of Edwin
eal	eall	pron	all
ealdne	eald	adj.acc.m.sg	old
Ealhhild	Ealhhild	n.f.nom.sg	Ealhhild
Ealhhilde	Ealhhild	n.f.dat.sg	Ealhhild (name)
ealle	eall	adj.acc.f.sg	all
ealne	eall	adj.acc.m.sg	all
ealra	eall	adj.gen.pl	of all
ealra	eall	adj.gen.pl	of all
Earmanrīces	Earmanrīc	n.m.gen.sg	of Ermanaric
eastan	ēastan	adv	from the east
Eastgotan	Eastgota	n.m.acc.sg	Eastgota (name)
Eastþyringum	Eastþyringas	n.m.dat.pl	the East-Thuringians
Eatule	Eatule	n.prop.dat.sg	Italy
Ebreum	Ebreas	n.m.dat.pl	the Hebrews
eðle	ēðel	n.m.dat.sg	homeland, country
efeneald	efeneald	adj.nom.m.sg	of the same age
Egyptum	Egyptas	n.m.dat.pl	the Egyptians
Elsan	Elsa	n.m.acc.sg	Elsa (name)
Emercan	Emercan	n.m.acc.sg	Emercan (name)
Engle	Engle	n.m.nom.pl	the Angles
Englum	Engle	n.m.dat.pl	the Angles
Eolum	Eolas	n.m.dat.pl	the Eols
eorl	eorl	n.m.nom.sg	nobleman, warrior
eorlscipe	eorlscipe	n.m.acc.sg	heroism, nobility
eorlscipe	eorlscipe	n.m.acc.sg	nobility, heroism
eorlscype	eorlscipe	n.m.acc.sg	heroism, nobility
Eormanrīc	Eormanrīc	n.m.nom.sg	Eormanric/Ermanaric
Eormanrīce	Eormanrīc	n.m.dat.sg	Ermanaric
Eormanrīces	Eormanrīc	n.m.gen.sg	of Eormanric/Ermanaric
eorþan	eorþe	n.f.acc.sg	earth, world
Eowum	Eowas	n.m.dat.pl	the Eows
Exsyringum	Exsyringas	n.m.dat.pl	the Assyrians
ēþel	ēþel	n.m.acc.sg	homeland, estate
ēþel	ēþel	n.m.acc.sg	homeland, country
ēþelstōl	ēþelstōl	n.m.acc.sg	native seat, homeland
fæder	fæder	n.m.gen.sg	father's
fæder	fæder	n.m.acc.sg	father
fælre	fæle	adj.dat.f.sg	faithful, good
fela	fela	adj.indecl	many
fela	fela	adj.indecl	many
fela	fela	adj.indecl	many
Fela	fela	adj.indecl	many
feor	feor	adv	far
fēringe	fēring	n.f.dat.sg	journey
Fifeldore	Fifeldor	n.f.dat.sg	Eider river
Fin	Fin	n.m.nom.sg	Finn (name)
Finnum	Finnas	n.m.dat.pl	the Finns
Finnum	Finnas	n.m.dat.pl	the Finns
fleag	flēogan	v.pret.3sg	flew
flette	flett	n.n.dat.sg	hall, floor
folca	folc	n.n.gen.pl	of peoples
Folcwalding	Folcwalding	n.m.nom.sg	son of Folcwald
foldan	folde	n.f.acc.sg	earth, ground
folgade	folgian	v.pret.1sg	followed
for	for	prep	before
forbīgdan	forbīgan	v.pret.pl	bent, broke
forð	forð	adv	forth, onwards
fore	fore	prep	before
fore	fore	prep	before
forgeaf	forgifan	v.pret.3sg	gave
forgeaf	forgifan	v.pret.3sg	gave
forgeaf	forgifan	v.pret.3sg	gave
forgeaf	forgifan	v.pret.3sg	gave
forhēowan	forhēawan	v.pret.pl	hewed down, cut down
forman	forma	adj.dat.m.sg	first
forwrǣcon	forwrēcan	v.pret.pl	drove away, banished
Forþon	forþon	conj	therefore, for that reason
frēa	frēa	n.m.nom.sg	lord
fremdra	fremde	adj.gen.pl	foreign, strange
fremede	fremman	v.pret.3sg	performed, accomplished
frēomǣgum	frēomǣg	n.m.dat.pl	free kinsmen
Freoþeric	Freoþeric	n.m.acc.sg	Freotheric (name)
freoþuwebban	freoþuwebbe	n.f.dat.sg	peace-weaver (woman who makes peace through marriage)
Frēsna	Frēsas	n.m.gen.pl	of the Frisians
Fridlan	Fridla	n.m.acc.sg	Fridla (name)
frōdne	frōd	adj.acc.m.sg	wise, old
from	from	prep	from
Froncum	Froncas	n.m.dat.pl	the Franks
Froncum	Froncas	n.m.dat.pl	the Franks
fruma	fruma	n.m.nom.sg	chief, prince
Frumtingum	Frumtingas	n.m.dat.pl	the First-people
Frysum	Frysas	n.m.dat.pl	the Frisians
ful	full	adv	fully, very
Ful	full	adv	fully, very
gar	gār	n.m.nom.sg	spear
Gēatum	Gēatas	n.m.dat.pl	the Geats
gedāles	gedāl	n.n.gen.sg	of distribution, of dividing
gedryht	gedryht	n.f.acc.sg	retinue, band
Gefflēgum	Gefflēgas	n.m.dat.pl	the Gefflēgas (tribe)
gefrǣge	gefrǣge	n.n.dat.sg	hearsay, knowledge
gefrægen	gefrīgnan	v.p.part	heard of
gefrægn	gefrīgnan	v.pret.1sg	have heard of
Gefwulf	Gefwulf	n.m.nom.sg	Gefwulf (name)
Gefþum	Gefþas	n.m.dat.pl	the Gepids
gehealdenne	gehealdan	v.inf	hold, maintain
gehwylc	gehwilc	pron	each, every
gemǣrde	gemǣran	v.pret.3sg	marked out, established
gemētað	gemētan	v.pres.pl	meet
geofum	giefu	n.f.dat.pl	with gifts
geond	geond	prep	throughout
geond	geond	prep	throughout
geond	geond	prep	throughout
geondferde	geondfēran	v.pret.3sg	traversed, traveled through
geondfērde	geondfēran	v.pret.1sg	traveled through, traversed
geondhwearf	geondhweorfan	v.pret.1sg	traversed
gesceapum	gesceap	n.n.dat.pl	by fates, by destiny
gescyred	scieran	v.p.part	cut, divided
gesiþa	gesīþ	n.m.acc.pl	companions
gesīþa	gesīþ	n.m.gen.pl	of companions
geslog	geslēan	v.pret.3sg	struck down, conquered
geslog	geslēan	v.pret.3sg	struck, established
gesōhte	gesēcan	v.pret.3sg	sought, visited
geweald	geweald	n.n.acc.sg	power, control
gewyrceð	gewyrcan	v.pres.3sg	works, achieves
geþah	geþicgan	v.pret.3sg	received
geþah	geþicgan	v.pret.3sg	received, achieved
geþah	geþicgan	v.pret.1sg	received
geþeon	geþēon	v.inf	prosper, flourish
giefe	giefu	n.f.acc.pl	gifts
giellende	giellan	v.pres.p	yelling
Gifica	Gifica	n.m.nom.sg	Gibicho (name)
ginne	ginn	adj.acc.m.sg	spacious, wide
Gislhere	Gislhere	n.m.acc.sg	Gislhere (name)
glædlicne	glædlic	adj.acc.m.sg	glad, joyful
glēawne	glēaw	adj.acc.m.sg	skilled, wise
glēomen	glēoman	n.m.nom.pl	gleemen, minstrels
Glommum	Glommas	n.m.dat.pl	the Glommas (tribe)
Glommum	Glommas	n.m.dat.pl	the Glommas
God	god	n.m.nom.sg	God
gōde	gōd	adv	well
Gōdes	gōd	adj.gen.n.sg	good
gōdne	gōd	adj.acc.m.sg	good
golde	gold	n.n.dat.sg	gold
goldes	gold	n.n.gen.sg	of gold
goldhrodene	goldhroden	adj.acc.f.sg	gold-adorned
Gotena	Gotan	n.m.gen.pl	of the Goths
Gotena	Gotan	n.m.gen.pl	of the Goths
Gotum	Gotan	n.m.dat.pl	the Goths
grome	gram	adj.acc.f.sg	hostile, angry
grund	grund	n.m.acc.sg	ground, bottom, abyss
grunda	grund	n.m.acc.pl	grounds, regions
Guðhere	Guðhere	n.m.nom.sg	Gunther (name)
gumena	guma	n.m.gen.pl	of men
gumena	guma	n.m.gen.pl	of men
gydda	gied	n.n.gen.pl	of songs, of tales
hæbbe	habban	v.pres.1sg	have
hæðnum	hæðen	adj.dat.pl	heathen
hæfde	habban	v.pret.3sg	had
hæleþum	hæleþ	n.m.dat.pl	heroes, men
Hælsingum	Hælsingas	n.m.dat.pl	the Helsings
Hætwerum	Hætweras	n.m.dat.pl	the Hætware
hafað	habban	v.pres.3sg	has
Hagena	Hagena	n.m.nom.sg	Hagena (name)
ham	hām	n.m.acc.sg	home
ham	hām	n.m.dat.sg	home
Hama	Hama	n.m.nom.sg	Hama (name)
Haman	Hama	n.m.acc.sg	Hama (name)
haten	hātan	v.p.part	called, named
hē	hē	pers.pron.nom.m.sg	he
hē	hē	pers.pron.nom.m.sg	he
hē	hē	pers.pron.nom.m.sg	he
hē	hē	pers.pron.nom.m.sg	he
hē	hē	pers.pron.nom.m.sg	he
Hē	hē	pers.pron.nom.m.sg	he
Heaðobeardna	Heaðobeardan	n.m.gen.pl	of the Heathobards
hēahfæstne	hēahfæst	adj.acc.m.sg	high-established, exalted
hēape	hēap	n.m.dat.sg	heap, troop
heardum	heard	adj.dat.pl	hard
hearpan	hearpe	n.f.dat.sg	harp
Heaþoreamum	Heaþoreamas	n.m.dat.pl	the Battle-Reamas
Heaþoric	Heaþoric	n.m.acc.sg	Heathoric (name)
Heðcan	Heðca	n.m.acc.sg	Heðca (name)
Helm	Helm	n.m.nom.sg	Helm (name)
Heoden	Heoden	n.m.nom.sg	Heoden (name)
heofonum	heofon	n.m.dat.pl	heavens
heoldon	healdan	v.pret.pl	held
heoldon	healdan	v.pret.pl	held
Heorote	Heorot	n.m.dat.sg	Heorot (hall name)
heortan	heorte	n.f.acc.sg	heart
hēr	hēr	adv	here
here	here	n.m.nom.sg	army
Herefarena	Herefaras	n.m.gen.pl	of the Herefaras
Herelingas	Herelingas	n.m.acc.pl	the Herelings
hī	hīe	pers.pron.nom.pl	they
him	hē	pers.pron.dat.m.sg	to him
him	hē	pers.pron.dat.m.sg	him
Him	hē	pers.pron.dat.m.sg	to him
his	his	poss.pron.3sg	his
hit	hit	pers.pron.nom.n.sg	it
hlēodryhtne	hlēodryhten	n.m.dat.sg	protecting lord
hlēoþor	hlēoþor	n.n.nom.sg	sound, melody
Hlīþe	Hlīþe	n.m.acc.sg	Hlithe (name)
hlude	hlūd	adj.nom.n.sg	loud
Hnæf	Hnæf	n.m.nom.sg	Hnæf (name)
Hocingum	Hocingas	n.m.dat.pl	the Hocings
Holen	Holen	n.m.nom.sg	Holen (name)
Holm-Rygum	Holm-Ryge	n.m.dat.pl	the Sea-Rugians
hond	hond	n.f.acc.sg	hand
Hræda	Hræde	n.m.gen.pl	of the Goths
Hreðcyninges	Hreðcyning	n.m.gen.sg	of the glory-king
Hreðgotum	Hreðgotan	n.m.dat.pl	the Glory-Goths (Ostrogoths)
hringa	hring	n.m.gen.pl	of rings
Hringweald	Hringweald	n.m.nom.sg	Hringweald (name)
Hroðgar	Hroðgar	n.m.nom.sg	Hrothgar (name)
Hronum	Hronas	n.m.dat.pl	the Hrons
Hroþwulf	Hroþwulf	n.m.nom.sg	Hrothwulf (name)
hū	hū	adv	how
Hun	Hun	n.m.nom.sg	Hun (name)
hund	hund	num	hundred
Hundingum	Hundingas	n.m.dat.pl	the Hundings
Hundingum	Hundingas	n.m.dat.pl	the Hundings
Hungar	Hungar	n.m.acc.sg	Hungar (name)
Hunum	Hūnas	n.m.dat.pl	the Huns
Hunum	Hūnas	n.m.dat.pl	the Huns
hwær	hwǣr	adv	where
hwæþre	hwæðre	adv	however
Hwala	Hwala	n.m.nom.sg	Hwala (name)
hweorfað	hweorfan	v.pres.pl	turn, wander
hwile	hwīl	n.f.dat.sg	for a time
hwīnende	hwīnan	v.pres.p	whizzing, whistling
hȳ	hīe	pers.pron.nom.pl	they
hȳ	hīe	pers.pron.acc.pl	them
hȳrdon	hīeran	v.pret.pl	heard
Hyre	hēo	pers.pron.gen.f.sg	her
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
ic	ic	pers.pron.nom.1sg	I
Ic	ic	pers.pron.nom.1sg	I
Idumingum	Idumingas	n.m.dat.pl	the Idumings
in	in	prep	in
Incgenþeow	Incgenþeow	n.m.acc.sg	Incgentheow (name)
Indeum	Indeas	n.m.dat.pl	the Indians
Ingeldes	Ingeld	n.m.gen.sg	of Ingeld
innweorud	innweorud	n.n.nom.sg	household retinue
Israhelum	Israhelum	n.m.dat.pl	the Israelites
Istum	Istas	n.m.dat.pl	the Ests
lēane	lēan	n.n.dat.sg	reward, payment
lēane	lēan	n.n.dat.sg	reward, payment
lengde	lengan	v.pret.3sg	extended
lengest	lange	adv.superl	longest
lengest	lange	adv.superl	longest
lēodum	lēod	n.m.dat.pl	to the people
leofað	libban	v.pres.3sg	lives
leofast	lēof	adj.superl.nom.m.sg	dearest
lēofum	lēof	adj.dat.m.sg	beloved
lēoht	lēoht	n.n.nom.sg	light
lēohteste	lēoht	adj.superl.acc.f.sg	lightest
Leonum	Lēonas	n.m.dat.pl	the Lyonese
Lidwicingum	Lidwicingas	n.m.dat.pl	the Bretons
līf	līf	n.n.nom.sg	life
lifgan	libban	v.inf	live
lof	lof	n.n.nom.sg	praise
lof	lof	n.n.acc.sg	praise
lofes	lof	n.n.gen.sg	of praise
lond	land	n.n.acc.sg	land
londa	land	n.n.gen.pl	of lands
londa	land	n.n.gen.pl	of lands
londbūendum	landbuend	n.m.dat.pl	to land-dwellers, inhabitants
Longbeardum	Longbeardas	n.m.dat.pl	the Lombards
Longbeardum	Longbeardas	n.m.dat.pl	the Lombards
maðolade	maðolian	v.pret.3sg	spoke, delivered a speech
mæg	magan	v.pres.1sg	may, can
mǣgþa	mǣgþ	n.f.gen.pl	of nations, tribes
mǣgþum	mǣgþ	n.f.dat.pl	tribes, nations
mǣnan	mǣnan	v.inf	tell, relate
mǣst	mǣst	adv.superl	most
mǣst	mǣst	adv.superl	most
mǣst	mǣst	adj.superl.acc.n.sg	most, greatest
manna	mann	n.m.gen.pl	of men
māran	māra	adj.comp.acc.m.sg	greater
maþþum	māððum	n.m.acc.sg	treasure, gift
māþþum	māþþum	n.m.acc.sg	treasure, gift
me	ic	pers.pron.dat.1sg	me
me	ic	pers.pron.dat.1sg	me
me	ic	pers.pron.dat.1sg	me
me	ic	pers.pron.dat.1sg	me
me	ic	pers.pron.dat.1sg	me
me	ic	pers.pron.dat.1sg	me
Meaca	Meaca	n.m.nom.sg	Meaca (name)
Mearchealf	Mearchealf	n.m.nom.sg	Mearchealf (name)
men	mann	n.m.nom.pl	men
mengo	menigo	n.f.dat.sg	multitude, crowd
meoduhealle	meoduhall	n.f.dat.sg	mead-hall
merce	mearc	n.f.acc.pl	borders, boundaries
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
Mid	mid	prep	with
mīne	mīn	poss.pron.1sg	my
mīnes	mīn	poss.pron.1sg.gen.m.sg	my
mīnum	mīn	poss.pron.1sg.dat.m.sg	my
mōdgast	mōdig	adj.superl.nom.m.sg	bravest, most courageous
mōdum	mōd	n.n.dat.pl	in minds
Mofdingum	Mofdingas	n.m.dat.pl	the Mofdings
Moidum	Moidas	n.m.dat.pl	the Medes
moncynnes	moncynn	n.n.gen.sg	of mankind
monige	manig	adj.nom.pl	many
monna	mann	n.m.gen.pl	of men
monna	mann	n.m.gen.pl	of men
monna	mann	n.m.gen.pl	of men
monna	mann	n.m.gen.pl	of men
mynelīcne	mynelīc	adj.acc.m.sg	desirable, pleasing
Myrginga	Myrgingas	n.m.gen.pl	of the Myrgings
Myrgingum	Myrgingas	n.m.dat.pl	the Myrgings (tribe name)
Myrgingum	Myrgingas	n.m.dat.pl	the Myrgings
Myrgingum	Myrgingas	n.m.dat.pl	the Myrgings
Myrgingum	Myrgingas	n.m.dat.pl	the Myrgings
nǣfre	nǣfre	adv	never
Nænig	nǣnig	pron	none, no one
Næs	ne-wesan	v.pret.3sg	was not
ne	ne	adv	not
ne	ne	adv	not
ne	ne	adv	not
nemnan	nemnan	v.inf	name
nō	nō	adv	not
norð	norð	adv	north
of	of	prep	from
of	of	prep	from
ofer	ofer	prep	over, across
ofer	ofer	prep	over
ofer	ofer	prep	over
Offa	Offa	n.m.nom.sg	Offa (name)
Offa	Offa	n.m.nom.sg	Offa
Offa	Offa	n.m.nom.sg	Offa
Offan	Offa	n.m.acc.sg	Offa
oft	oft	adv	often
oft	oft	adv	often
oft	oft	adv	often
on	on	prep	in, at
on	on	prep	in
on	on	prep	in
on	on	prep	in
on	on	prep	in
on	on	prep	on
on	on	prep	in
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
Ond	ond	conj	and
Ond	ond	conj	and
onfond	onfindan	v.pret.1sg	found out, experienced
Ongendmyrgingum	Ongendmyrgingas	n.m.dat.pl	the Against-Myrgings
Ongendþeow	Ongendþeow	n.m.nom.sg	Ongentheow (name)
Ongle	Ongel	n.m.dat.sg	Anglia
Ongle	Ongel	n.m.dat.sg	Anglia
Ongon	onginnan	v.pret.3sg	began
onleac	onlūcan	v.pret.3sg	unlocked, opened
onwocon	onwacan	v.pret.pl	arose, were born
ord	ord	n.m.acc.sg	point, spear-point (metaphorically: pride)
ōrette	ōret	n.dat.sg	battle, combat
Oswine	Oswine	n.m.nom.sg	Oswine (name)
ōþerne	ōðer	adj.acc.m.sg	another
oþrum	ōðer	adj.dat.m.sg	another
oþþæt	oþþæt	conj	until
oþþe	oþþe	conj	or
Peohtum	Peohtas	n.m.dat.pl	the Picts
Persum	Persas	n.m.dat.pl	the Persians
rædan	rǣdan	v.inf	rule, govern
Rædhere	Rædhere	n.m.acc.sg	Rædhere (name)
reorde	reord	n.f.acc.sg	voice, language
rīce	rīce	n.n.acc.sg	kingdom, power
rīces	rīce	n.n.gen.sg	of kingdom, of realm
ricost	rīce	adj.superl.nom.m.sg	most powerful
Rondhere	Rondhere	n.m.acc.sg	Rondhere (name)
Rondingum	Rondingas	n.m.dat.pl	the Rondings
Rugum	Rugas	n.m.dat.pl	the Rugians
Rumstan	Rumstan	n.m.acc.sg	Rumstan (name)
Rumwalum	Rumwalas	n.m.dat.pl	the Romans
Sæ-Denum	Sæ-Dene	n.m.dat.pl	the Sea-Danes
Sæferð	Sæferð	n.m.nom.sg	Sæferð (name)
sǣmestan	sǣmest	adj.superl.nom.pl	worst
sǣne	sǣne	adj.nom.m.sg	slack, slow
scæceð	sceacan	v.pres.3sg	departs, passes away
Sceafa	Sceafa	n.m.nom.sg	Sceafa (name)
Sceafthere	Sceafthere	n.m.nom.sg	Sceafthere (name)
Sceal	sculan	v.pres.3sg	shall, must
sceatta	sceat	n.m.gen.pl	of coins, of money
sceolde	sculan	v.pret.1sg	should, had to
sceolde	sculan	v.pret.1sg	should, had to
sceoldon	sculan	v.pret.pl	should, had to
Scilling	Scilling	n.m.nom.sg	Scilling (name)
scillingrīme	scillingrīm	n.m.dat.sg	by shilling-count
scīran	scīr	adj.acc.f.sg	clear, bright
Scottum	Scottas	n.m.dat.pl	the Scots
Scridefinnum	Scridefinnas	n.m.dat.pl	the Ski-Finns
scrīþende	scrīðan	v.pres.p	wandering, gliding
se	sē	dem.pron.nom.m.sg	he, the one
se	sē	dem.pron.nom.m.sg	he, the one
se	sē	dem.pron.nom.m.sg	he
se	sē	dem.pron.nom.m.sg	who
se	sē	dem.pron.nom.m.sg	who
se	sē	dem.pron.nom.m.sg	he
sē	sē	dem.pron.nom.m.sg	he
sē	sē	dem.pron.nom.m.sg	he
sē	sē	dem.pron.nom.m.sg	he
sē	sē	dem.pron.nom.m.sg	he who
Seafolan	Seafola	n.m.acc.sg	Seafola (name)
sealde	sellan	v.pret.1sg	gave
Seaxum	Seaxas	n.m.dat.pl	the Saxons
Seccan	Secca	n.m.acc.sg	Secca (name)
secgað	secgan	v.pres.pl	say, tell
secgan	secgan	v.inf	say, tell
secgan	secgan	v.inf	say, tell
selast	sēlest	adj.superl.nom.m.sg	best, most excellent
sēlast	sēlest	adv.superl	best
selestan	sēlest	adj.superl.acc.pl	best, most excellent
sēllan	sēlla	adj.comp.acc.m.sg	better
Sercingum	Sercingas	n.m.dat.pl	the Saracens
Seringum	Seringas	n.m.dat.pl	the Seres (Chinese)
sibbe	sibb	n.f.acc.sg	peace, kinship
siex	siex	num	six
Sifecan	Sifeca	n.m.acc.sg	Sifeca (name)
sigedryhtne	sigedryhten	n.m.dat.sg	victory-lord
Sigehere	Sigehere	n.m.nom.sg	Sigehere (name)
simle	symle	adv	always
singan	singan	v.inf	sing
sīþe	sīþ	n.m.dat.sg	time, journey
siþþan	siþþan	conj	after, since
sīþþan	sīððan	adv	afterwards, since then
