Word	Lemma	Part of Speech	Gloss
Cælic	Cælic	n.m.nom.sg	Cælic (name)
Finnum	Finnas	n.m.dat.pl	the Finns
Hagena	Hagena	n.m.nom.sg	Hagena (name)
Holm-Rygum	Holm-Ryge	n.m.dat.pl	the Sea-Rugians
ond	ond	conj	and
Heoden	Heoden	n.m.nom.sg	Heoden (name)
Glommum	Glommas	n.m.dat.pl	the Glommas (tribe)
Witta	Witta	n.m.nom.sg	Witta (name)
weold	wealdan	v.pret.3sg	ruled
Swæfum	Swæfas	n.m.dat.pl	the Swabians
Wada	Wada	n.m.nom.sg	Wada (name)
Hælsingum	Hælsingas	n.m.dat.pl	the Helsings
Meaca	Meaca	n.m.nom.sg	Meaca (name)
Myrgingum	Myrgingas	n.m.dat.pl	the Myrgings
Mearchealf	Mearchealf	n.m.nom.sg	Mearchealf (name)
Hundingum	Hundingas	n.m.dat.pl	the Hundings
Þeodric	Þeodric	n.m.nom.sg	Theodoric
weold	wealdan	v.pret.3sg	ruled
Froncum	Froncas	n.m.dat.pl	the Franks
Þyle	Þyle	n.m.nom.sg	Thyle (name)
Rondingum	Rondingas	n.m.dat.pl	the Rondings
Breoca	Breoca	n.m.nom.sg	Breoca (name)
Brondingum	Brondingas	n.m.dat.pl	the Brondings
Billing	Billing	n.m.nom.sg	Billing (name)
Wernum	Wernas	n.m.dat.pl	the Werns
Oswine	Oswine	n.m.nom.sg	Oswine (name)
weold	wealdan	v.pret.3sg	ruled
Eowum	Eowas	n.m.dat.pl	the Eows
ond	ond	conj	and
Ytum	Ytas	n.m.dat.pl	the Jutes
Gefwulf	Gefwulf	n.m.nom.sg	Gefwulf (name)
Fin	Fin	n.m.nom.sg	Finn (name)
Folcwalding	Folcwalding	n.m.nom.sg	son of Folcwald
Frēsna	Frēsas	n.m.gen.pl	of the Frisians
cynne	cynn	n.n.dat.sg	tribe, race, people
Sigehere	Sigehere	n.m.nom.sg	Sigehere (name)
lengest	lange	adv.superl	longest
Sæ-Denum	Sæ-Dene	n.m.dat.pl	the Sea-Danes
weold	wealdan	v.pret.3sg	ruled
Hnæf	Hnæf	n.m.nom.sg	Hnæf (name)
Hocingum	Hocingas	n.m.dat.pl	the Hocings
Helm	Helm	n.m.nom.sg	Helm (name)
Wulfingum	Wulfingas	n.m.dat.pl	the Wulfings
Wald	Wald	n.m.nom.sg	Wald (name)
Woingum	Woingas	n.m.dat.pl	the Woings
Wod	Wod	n.m.nom.sg	Wod (name)
Þyringum	Þyringas	n.m.dat.pl	the Thuringians
Sæferð	Sæferð	n.m.nom.sg	Sæferð (name)
Sycgum	Sycgas	n.m.dat.pl	the Secgans
Sweom	Swēon	n.m.dat.pl	the Swedes
Ongendþeow	Ongendþeow	n.m.nom.sg	Ongentheow (name)
Sceafthere	Sceafthere	n.m.nom.sg	Sceafthere (name)
Ymbrum	Ymbre	n.m.dat.pl	the Ymbrians
Sceafa	Sceafa	n.m.nom.sg	Sceafa (name)
Longbeardum	Longbeardas	n.m.dat.pl	the Lombards
Hun	Hun	n.m.nom.sg	Hun (name)
Hætwerum	Hætweras	n.m.dat.pl	the Hætware
ond	ond	conj	and
Holen	Holen	n.m.nom.sg	Holen (name)
Wrosnum	Wrosnas	n.m.dat.pl	the Wrosns
Hringweald	Hringweald	n.m.nom.sg	Hringweald (name)
wæs	wesan	v.pret.3sg	was
haten	hātan	v.p.part	called, named
Herefarena	Herefaras	n.m.gen.pl	of the Herefaras
cyning	cyning	n.m.nom.sg	king
Offa	Offa	n.m.nom.sg	Offa (name)
weold	wealdan	v.pret.3sg	ruled
Ongle	Ongel	n.m.dat.sg	Anglia
Alewih	Alewih	n.m.nom.sg	Alewih (name)
Denum	Dene	n.m.dat.pl	the Danes
se	sē	dem.pron.nom.m.sg	he
wæs	wesan	v.pret.3sg	was
þāra	sē	dem.pron.gen.pl	of those
manna	mann	n.m.gen.pl	of men
mōdgast	mōdig	adj.superl.nom.m.sg	bravest, most courageous
ealra	eall	adj.gen.pl	of all
nō	nō	adv	not
hwæþre	hwæðre	adv	however
hē	hē	pers.pron.nom.m.sg	he
ofer	ofer	prep	over
Offan	Offa	n.m.acc.sg	Offa
eorlscype	eorlscipe	n.m.acc.sg	heroism, nobility
fremede	fremman	v.pret.3sg	performed, accomplished
ac	ac	conj	but
Offa	Offa	n.m.nom.sg	Offa
geslog	geslēan	v.pret.3sg	struck down, conquered
ærest	ǣrest	adv.superl	first
monna	mann	n.m.gen.pl	of men
cnihtwesende	cniht-wesende	adj	being a boy, while a youth
cynerica	cynerīce	n.n.gen.pl	of kingdoms
mǣst	mǣst	adj.superl.acc.n.sg	most, greatest
Nænig	nǣnig	pron	none, no one
efeneald	efeneald	adj.nom.m.sg	of the same age
him	hē	pers.pron.dat.m.sg	to him
eorlscipe	eorlscipe	n.m.acc.sg	heroism, nobility
māran	māra	adj.comp.acc.m.sg	greater
on	on	prep	in
ōrette	ōret	n.dat.sg	battle, combat
Āne	ān	num.instr.sg	with one
sweorde	sweord	n.n.instr.sg	sword
merce	mearc	n.f.acc.pl	borders, boundaries
gemǣrde	gemǣran	v.pret.3sg	marked out, established
wið	wið	prep	against
Myrgingum	Myrgingas	n.m.dat.pl	the Myrgings
bī	bī	prep	by
Fifeldore	Fifeldor	n.f.dat.sg	Eider river
heoldon	healdan	v.pret.pl	held
forð	forð	adv	forth, onwards
sīþþan	sīððan	adv	afterwards, since then
Engle	Engle	n.m.nom.pl	the Angles
ond	ond	conj	and
Swæfe	Swæfas	n.m.nom.pl	the Swabians
swā	swā	adv	as, so
hit	hit	pers.pron.nom.n.sg	it
Offa	Offa	n.m.nom.sg	Offa
geslog	geslēan	v.pret.3sg	struck, established
Hroþwulf	Hroþwulf	n.m.nom.sg	Hrothwulf (name)
ond	ond	conj	and
Hroðgar	Hroðgar	n.m.nom.sg	Hrothgar (name)
heoldon	healdan	v.pret.pl	held
lengest	lange	adv.superl	longest
sibbe	sibb	n.f.acc.sg	peace, kinship
ætsomne	ætsomne	adv	together
suhtorfædran	suhtorfædera	n.m.nom.pl	nephew and uncle
siþþan	siþþan	conj	after, since
hȳ	hīe	pers.pron.nom.pl	they
forwrǣcon	forwrēcan	v.pret.pl	drove away, banished
wicinga	wicing	n.m.gen.pl	of vikings
cynn	cynn	n.n.acc.sg	race, tribe
ond	ond	conj	and
Ingeldes	Ingeld	n.m.gen.sg	of Ingeld
ord	ord	n.m.acc.sg	point, spear-point (metaphorically: pride)
forbīgdan	forbīgan	v.pret.pl	bent, broke
forhēowan	forhēawan	v.pret.pl	hewed down, cut down
æt	æt	prep	at
Heorote	Heorot	n.m.dat.sg	Heorot (hall name)
Heaðobeardna	Heaðobeardan	n.m.gen.pl	of the Heathobards
þrym	þrymm	n.m.acc.sg	force, strength, glory
Swā	swā	adv	so, thus
ic	ic	pers.pron.nom.1sg	I
geondfērde	geondfēran	v.pret.1sg	traveled through, traversed
fela	fela	adj.indecl	many
fremdra	fremde	adj.gen.pl	foreign, strange
londa	land	n.n.gen.pl	of lands
geond	geond	prep	throughout
ginne	ginn	adj.acc.m.sg	spacious, wide
grund	grund	n.m.acc.sg	ground, bottom, abyss
Gōdes	gōd	adj.gen.n.sg	good
ond	ond	conj	and
yfles	yfel	adj.gen.n.sg	evil
þǣr	þǣr	adv	there
ic	ic	pers.pron.nom.1sg	I
cunnade	cunnian	v.pret.1sg	experienced, tried
cnōsle	cnōsl	n.n.dat.sg	family, kin
bidǣled	bidǣlan	v.p.part	deprived of, separated from
frēomǣgum	frēomǣg	n.m.dat.pl	free kinsmen
feor	feor	adv	far
folgade	folgian	v.pret.1sg	followed
wide	wīde	adv	widely, far and wide
Forþon	forþon	conj	therefore, for that reason
ic	ic	pers.pron.nom.1sg	I
mæg	magan	v.pres.1sg	may, can
singan	singan	v.inf	sing
ond	ond	conj	and
secgan	secgan	v.inf	say, tell
spell	spell	n.n.acc.sg	story, tale
mǣnan	mǣnan	v.inf	tell, relate
fore	fore	prep	before
mengo	menigo	n.f.dat.sg	multitude, crowd
in	in	prep	in
meoduhealle	meoduhall	n.f.dat.sg	mead-hall
hū	hū	adv	how
me	ic	pers.pron.dat.1sg	me
cynegōde	cynegōd	adj.nom.pl	noble kings
cystum	cyst	n.f.dat.pl	with excellences, with generosities
dohten	dugan	v.pret.pl	were good, were kind
Ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
mid	mid	prep	with
Hunum	Hūnas	n.m.dat.pl	the Huns
ond	ond	conj	and
mid	mid	prep	with
Hreðgotum	Hreðgotan	n.m.dat.pl	the Glory-Goths (Ostrogoths)
mid	mid	prep	with
Sweom	Swēon	n.m.dat.pl	the Swedes
ond	ond	conj	and
mid	mid	prep	with
Gēatum	Gēatas	n.m.dat.pl	the Geats
ond	ond	conj	and
mid	mid	prep	with
Suþ-denum	Sūþ-Dene	n.m.dat.pl	the South-Danes
Mid	mid	prep	with
Wenlum	Wenlas	n.m.dat.pl	the Wends
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Wærnum	Wærnas	n.m.dat.pl	the Werns
ond	ond	conj	and
mid	mid	prep	with
Wicingum	Wicingas	n.m.dat.pl	the Vikings
Mid	mid	prep	with
Gefþum	Gefþas	n.m.dat.pl	the Gepids
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Winedum	Winedas	n.m.dat.pl	the Wends
ond	ond	conj	and
mid	mid	prep	with
Gefflēgum	Gefflēgas	n.m.dat.pl	the Gefflēgas (tribe)
Mid	mid	prep	with
Englum	Engle	n.m.dat.pl	the Angles
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Swæfum	Swæfas	n.m.dat.pl	the Swabians
ond	ond	conj	and
mid	mid	prep	with
Ænenum	Ænenas	n.m.dat.pl	the Æni (tribe)
Mid	mid	prep	with
Seaxum	Seaxas	n.m.dat.pl	the Saxons
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
Sycgum	Sycgas	n.m.dat.pl	the Secgans
ond	ond	conj	and
mid	mid	prep	with
Sweordwerum	Sweordweras	n.m.dat.pl	the Sword-men
Mid	mid	prep	with
Hronum	Hronas	n.m.dat.pl	the Hrons
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Dēanum	Dēanas	n.m.dat.pl	the Danes
ond	ond	conj	and
mid	mid	prep	with
Heaþoreamum	Heaþoreamas	n.m.dat.pl	the Battle-Reamas
Mid	mid	prep	with
Þyringum	Þyringas	n.m.dat.pl	the Thuringians
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Þrowendum	Þrowendas	n.m.dat.pl	the Throw-people
ond	ond	conj	and
mid	mid	prep	with
Burgendum	Burgendas	n.m.dat.pl	the Burgundians
þǣr	þǣr	adv	there
ic	ic	pers.pron.nom.1sg	I
bēag	bēah	n.m.acc.sg	ring, treasure
geþah	geþicgan	v.pret.1sg	received
me	ic	pers.pron.dat.1sg	me
þǣr	þǣr	adv	there
Guðhere	Guðhere	n.m.nom.sg	Gunther (name)
forgeaf	forgifan	v.pret.3sg	gave
glædlicne	glædlic	adj.acc.m.sg	glad, joyful
māþþum	māþþum	n.m.acc.sg	treasure, gift
songes	song	n.m.gen.sg	of song
to	tō	prep	to, for
lēane	lēan	n.n.dat.sg	reward, payment
Næs	ne-wesan	v.pret.3sg	was not
þǣt	þæt	dem.pron.nom.n.sg	that
sǣne	sǣne	adj.nom.m.sg	slack, slow
cyning	cyning	n.m.nom.sg	king
Mid	mid	prep	with
Froncum	Froncas	n.m.dat.pl	the Franks
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Frysum	Frysas	n.m.dat.pl	the Frisians
ond	ond	conj	and
mid	mid	prep	with
Frumtingum	Frumtingas	n.m.dat.pl	the First-people
Mid	mid	prep	with
Rugum	Rugas	n.m.dat.pl	the Rugians
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Glommum	Glommas	n.m.dat.pl	the Glommas
ond	ond	conj	and
mid	mid	prep	with
Rumwalum	Rumwalas	n.m.dat.pl	the Romans
Swylce	swilce	adv	likewise, also
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
on	on	prep	in
Eatule	Eatule	n.prop.dat.sg	Italy
mid	mid	prep	with
Ælfwine	Ælfwine	n.m.dat.sg	Alboin (name)
se	sē	dem.pron.nom.m.sg	who
hæfde	habban	v.pret.3sg	had
moncynnes	moncynn	n.n.gen.sg	of mankind
mīne	mīn	poss.pron.1sg	my
gefrǣge	gefrǣge	n.n.dat.sg	hearsay, knowledge
lēohteste	lēoht	adj.superl.acc.f.sg	lightest
hond	hond	n.f.acc.sg	hand
lofes	lof	n.n.gen.sg	of praise
to	tō	prep	to, for
wyrcenne	wyrcan	v.inf	work, make
heortan	heorte	n.f.acc.sg	heart
unhnēaweste	unhnēaw	adj.superl.acc.f.sg	most generous
hringa	hring	n.m.gen.pl	of rings
gedāles	gedāl	n.n.gen.sg	of distribution, of dividing
beorhtra	beorht	adj.gen.pl	bright
bēaga	bēag	n.m.gen.pl	of rings, of treasures
bearn	bearn	n.n.nom.sg	child, son
Eadwines	Eadwine	n.m.gen.sg	of Edwin
Mid	mid	prep	with
Sercingum	Sercingas	n.m.dat.pl	the Saracens
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Seringum	Seringas	n.m.dat.pl	the Seres (Chinese)
mid	mid	prep	with
Creacum	Crēacas	n.m.dat.pl	the Greeks
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Finnum	Finnas	n.m.dat.pl	the Finns
ond	ond	conj	and
mid	mid	prep	with
Casere	casere	n.m.dat.sg	Caesar, emperor
se	sē	dem.pron.nom.m.sg	who
þe	þe	rel.part	who, that
wīnburga	wīnburg	n.f.gen.pl	of wine-cities
geweald	geweald	n.n.acc.sg	power, control
āhte	āgan	v.pret.3sg	owned, possessed
wiolena	wiolen	n.n.gen.pl	of wealth
ond	ond	conj	and
wilna	will	n.m.gen.pl	of desires
ond	ond	conj	and
Wala	Wealas	n.m.gen.pl	of the Welsh, of the Romans
rīces	rīce	n.n.gen.sg	of kingdom, of realm
Mid	mid	prep	with
Scottum	Scottas	n.m.dat.pl	the Scots
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Peohtum	Peohtas	n.m.dat.pl	the Picts
ond	ond	conj	and
mid	mid	prep	with
Scridefinnum	Scridefinnas	n.m.dat.pl	the Ski-Finns
mid	mid	prep	with
Lidwicingum	Lidwicingas	n.m.dat.pl	the Bretons
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Leonum	Lēonas	n.m.dat.pl	the Lyonese
ond	ond	conj	and
mid	mid	prep	with
Longbeardum	Longbeardas	n.m.dat.pl	the Lombards
mid	mid	prep	with
hæðnum	hæðen	adj.dat.pl	heathen
ond	ond	conj	and
mid	mid	prep	with
hæleþum	hæleþ	n.m.dat.pl	heroes, men
ond	ond	conj	and
mid	mid	prep	with
Hundingum	Hundingas	n.m.dat.pl	the Hundings
Mid	mid	prep	with
Israhelum	Israhelum	n.m.dat.pl	the Israelites
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Exsyringum	Exsyringas	n.m.dat.pl	the Assyrians
mid	mid	prep	with
Ebreum	Ebreas	n.m.dat.pl	the Hebrews
ond	ond	conj	and
mid	mid	prep	with
Indeum	Indeas	n.m.dat.pl	the Indians
ond	ond	conj	and
mid	mid	prep	with
Egyptum	Egyptas	n.m.dat.pl	the Egyptians
Mid	mid	prep	with
Moidum	Moidas	n.m.dat.pl	the Medes
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Persum	Persas	n.m.dat.pl	the Persians
ond	ond	conj	and
mid	mid	prep	with
Myrgingum	Myrgingas	n.m.dat.pl	the Myrgings
ond	ond	conj	and
Mofdingum	Mofdingas	n.m.dat.pl	the Mofdings
ond	ond	conj	and
Ongendmyrgingum	Ongendmyrgingas	n.m.dat.pl	the Against-Myrgings
ond	ond	conj	and
mid	mid	prep	with
Amoþingum	Amoþingas	n.m.dat.pl	the Amoþings
Mid	mid	prep	with
Eastþyringum	Eastþyringas	n.m.dat.pl	the East-Thuringians
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
ond	ond	conj	and
mid	mid	prep	with
Eolum	Eolas	n.m.dat.pl	the Eols
ond	ond	conj	and
mid	mid	prep	with
Istum	Istas	n.m.dat.pl	the Ests
ond	ond	conj	and
Idumingum	Idumingas	n.m.dat.pl	the Idumings
Ond	ond	conj	and
ic	ic	pers.pron.nom.1sg	I
wæs	wesan	v.pret.1sg	was
mid	mid	prep	with
Eormanrīce	Eormanrīc	n.m.dat.sg	Ermanaric
ealle	eall	adj.acc.f.sg	all
þrāge	þrāg	n.f.acc.sg	time, while
þǣr	þǣr	adv	there
me	ic	pers.pron.dat.1sg	me
Gotena	Gotan	n.m.gen.pl	of the Goths
cyning	cyning	n.m.nom.sg	king
gōde	gōd	adv	well
dohte	dugan	v.pret.3sg	was good, was kind
se	sē	dem.pron.nom.m.sg	he
me	ic	pers.pron.dat.1sg	me
bēag	bēag	n.m.acc.sg	ring, treasure
forgeaf	forgifan	v.pret.3sg	gave
burgwarena	burgware	n.m.gen.pl	of city-dwellers
fruma	fruma	n.m.nom.sg	chief, prince
on	on	prep	in
þām	sē	dem.pron.dat.m.sg	which, that
siex	siex	num	six
hund	hund	num	hundred
wæs	wesan	v.pret.3sg	was
smǣtes	smǣte	adj.gen.n.sg	pure, refined
goldes	gold	n.n.gen.sg	of gold
gescyred	scieran	v.p.part	cut, divided
sceatta	sceat	n.m.gen.pl	of coins, of money
scillingrīme	scillingrīm	n.m.dat.sg	by shilling-count
þone	sē	dem.pron.acc.m.sg	which, that
ic	ic	pers.pron.nom.1sg	I
Eadgilse	Eadgils	n.m.dat.sg	(to) Eadgils
on	on	prep	in
ǣht	ǣht	n.f.acc.sg	possession
sealde	sellan	v.pret.1sg	gave
mīnum	mīn	poss.pron.1sg.dat.m.sg	my
hlēodryhtne	hlēodryhten	n.m.dat.sg	protecting lord
þā	þā	adv	when
ic	ic	pers.pron.nom.1sg	I
to	tō	prep	to
ham	hām	n.m.dat.sg	home
bicwom	becuman	v.pret.1sg	came
lēofum	lēof	adj.dat.m.sg	beloved
to	tō	prep	to, for
lēane	lēan	n.n.dat.sg	reward, payment
þæs	þæs	dem.pron.gen.n.sg	of that
þe	þe	rel.part	which, that
hē	hē	pers.pron.nom.m.sg	he
me	ic	pers.pron.dat.1sg	me
lond	land	n.n.acc.sg	land
forgeaf	forgifan	v.pret.3sg	gave
mīnes	mīn	poss.pron.1sg.gen.m.sg	my
fæder	fæder	n.m.gen.sg	father's
ēþel	ēþel	n.m.acc.sg	homeland, estate
frēa	frēa	n.m.nom.sg	lord
Myrginga	Myrgingas	n.m.gen.pl	of the Myrgings
Ond	ond	conj	and
me	ic	pers.pron.dat.1sg	me
þā	þā	adv	then
Ealhhild	Ealhhild	n.f.nom.sg	Ealhhild
ōþerne	ōðer	adj.acc.m.sg	another
forgeaf	forgifan	v.pret.3sg	gave
dryhtcwēn	dryhtcwēn	n.f.nom.sg	noble queen
duguþe	duguþ	n.f.gen.sg	of the nobility
dohtor	dohtor	n.f.nom.sg	daughter
Eadwines	Eadwine	n.m.gen.sg	of Edwin
Hyre	hēo	pers.pron.gen.f.sg	her
lof	lof	n.n.nom.sg	praise
lengde	lengan	v.pret.3sg	extended
geond	geond	prep	throughout
londa	land	n.n.gen.pl	of lands
fela	fela	adj.indecl	many
þonne	þonne	conj	when
ic	ic	pers.pron.nom.1sg	I
be	be	prep	about, concerning
songe	song	n.m.dat.sg	song
secgan	secgan	v.inf	say, tell
sceolde	sculan	v.pret.1sg	should, had to
hwær	hwǣr	adv	where
ic	ic	pers.pron.nom.1sg	I
under	under	prep	under
swegle	swegle	n.n.dat.sg	sky, heaven
sēlast	sēlest	adv.superl	best
wisse	witan	v.pret.1sg	knew
goldhrodene	goldhroden	adj.acc.f.sg	gold-adorned
cwēn	cwēn	n.f.acc.sg	queen
giefe	giefu	n.f.acc.pl	gifts
bryttian	bryttian	v.inf	distribute, dispense
Ðonne	þonne	adv	then
wit	wit	pers.pron.nom.dual	we two
Scilling	Scilling	n.m.nom.sg	Scilling (name)
scīran	scīr	adj.acc.f.sg	clear, bright
reorde	reord	n.f.acc.sg	voice, language
for	for	prep	before
uncrum	uncer	poss.pron.dual.dat.m.sg	our (dual)
sigedryhtne	sigedryhten	n.m.dat.sg	victory-lord
song	song	n.m.acc.sg	song
āhofan	āhebban	v.pret.dual	raised up
hlude	hlūd	adj.nom.n.sg	loud
bī	bī	prep	by
hearpan	hearpe	n.f.dat.sg	harp
hlēoþor	hlēoþor	n.n.nom.sg	sound, melody
swinsade	swinsian	v.pret.3sg	sounded, made melody
þonne	þonne	conj	when
monige	manig	adj.nom.pl	many
men	mann	n.m.nom.pl	men
mōdum	mōd	n.n.dat.pl	in minds
wlonce	wlanc	adj.nom.pl	proud
wordum	word	n.n.instr.pl	with words
sprēcan	sprecan	v.pret.pl	spoke
þa	sē	dem.pron.nom.pl	those
þe	þe	rel.part	who
wēl	wēl	adv	well
cuþan	cunnan	v.pret.pl	knew
þæt	þæt	conj	that
hī	hīe	pers.pron.nom.pl	they
nǣfre	nǣfre	adv	never
song	song	n.m.acc.sg	song
sēllan	sēlla	adj.comp.acc.m.sg	better
ne	ne	adv	not
hȳrdon	hīeran	v.pret.pl	heard
Ðonan	þonan	adv	thence, from there
ic	ic	pers.pron.nom.1sg	I
ealne	eall	adj.acc.m.sg	all
geondhwearf	geondhweorfan	v.pret.1sg	traversed
ēþel	ēþel	n.m.acc.sg	homeland, country
Gotena	Gotan	n.m.gen.pl	of the Goths
sōhte	sēcan	v.pret.1sg	sought
ic	ic	pers.pron.nom.1sg	I
a	ā	adv	always
gesiþa	gesīþ	n.m.acc.pl	companions
þā	sē	dem.pron.acc.pl	those
selestan	sēlest	adj.superl.acc.pl	best, most excellent
þæt	þæt	dem.pron.nom.n.sg	that
wæs	wesan	v.pret.3sg	was
innweorud	innweorud	n.n.nom.sg	household retinue
Earmanrīces	Earmanrīc	n.m.gen.sg	of Ermanaric
Heðcan	Heðca	n.m.acc.sg	Heðca (name)
