Lemma	Form	POS	Line	Gloss
in	in	prep	55	in
meoduhealle	meoduheall	dsn	55	mead-hall
hū	hū	adv	56	how
me	me	dsppn	56	me
cynegōde	cynegōd	adj	56	well-born
cystum	cyst	ipn	56	a choice gift
dohten.	dugan	pret.subj.pv	56	would be generous
Ic	ic	pn	57	I
wæs	wesan	psv	57	was
mid	mid	prep	57	with
Hunum	Hunas	dpn	57	The Huns
ond	ond	conj	57	and
mid	mid	prep	57	with
Hreðgotum,	Hreðgotan	dpn	57	Ostrogoths
mid	mid	prep	58	with
Sweom	Sweon	dpn	58	Swedes
ond	ond	conj	58	and
mid	mid	prep	58	with
Geatum	Gēatas	dpn	58	the Geats
ond	ond	conj	58	and
mid	mid	prep	58	with
Suþ-denum.	Suþ-dene	dpn	58	the south-Danes
mid	mid	prep	59	with
Wenlum	Wenlas	dpn	59	Wenlas
ic	ic	pn	59	I
wæs	wesan	psv	59	was
ond	ond	conj	59	and
mid	mid	prep	59	with
Wærnum	Wærne	dpn	59	the Varni
ond	ond	conj	59	and
mid	mid	prep	59	with
wicingum.	Wicingas	dpn	59	the Wicings
mid	mid	prep	60	with
Gefþum	Gefþan	dpn	60	The Gibids
ic	ic	pn	60	I
wæs	wesan	psv	60	was
ond	ond	conj	60	and
mid	mid	prep	60	with
Winedum	Winedas	dpn	60	Winedas
ond	ond	conj	60	and
mid	mid	prep	60	with
Gefflegum.	Gefflēgan	dsn	60	The Gefflegans
mid	mid	prep	61	with
Englum	Engle	dpn	61	the Angles
ic	ic	pn	61	I
wæs	wesan	psv	61	was
ond	ond	conj	61	and
mid	mid	prep	61	with
Swæfum	Swæfe	dpn	61	Swæfe
ond	ond	conj	61	and
mid	mid	prep	61	with
Ænēnum.	Ænēnas	dpn	61	Ænēnas
mid	mid	prep	62	with
Seaxum	Seaxan	dpn	62	the Saxons
ic	ic	pn	62	I
wæs	wesan	psv	62	was
ond	ond	conj	62	and
Sycgum	Sycga	dpn	62	the Sycgans
ond	ond	conj	62	and
mid	mid	prep	62	with
Sweordwerum.	Sweordwere	dpn	62	Suardones
mid	mid	prep	63	with
Hronum	Hronan	dpn	63	Hronan
ic	ic	pn	63	I
wæs	wesan	psv	63	was
ond	ond	conj	63	and
mid	mid	prep	63	with
Deanum	Dēan	dpn	63	Deans
ond	ond	conj	63	and
mid	mid	prep	63	with
Heaþoreamum.	Heaþoreamas	dpn	63	HeaÞoramas
mid	mid	prep	64	with
Þyringum	Þyringas	dpn	64	the Thuringians
ic	ic	pn	64	I
wæs	wesan	psv	64	was
ond	ond	conj	64	and
mid	mid	prep	64	with
Þrowendum,	Þrowend	dpn	64	Þrowend
ond	ond	conj	65	and
mid	mid	prep	65	with
Burgendum,	Burgendan	ipn	65	the Burgundians
þǣr	þǣr	adv	65	there
ic	ic	pn	65	I
bēag	bēag	asn	65	necklace
geþah;	geþicgan	pret.sv	65	receive
me	me	dsppn	66	me
þǣr	þǣr	adv	66	there
Guðhere	Guðhere	nsn	66	Guðhere
forgeaf	forgiefan	pret.sv	66	gave
glædlicne	glædlic	adj	66	goodly
māþþum	māþþum	asn	66	treasure
songes	song	gsn	67	song
to	to	prep	67	to
lēane.	lēan	dsn	67	reward
Næs	wesan	psv	67	was not
þǣt	þǣt	nsn	67	that
sǣne	sǣne	adj	67	stingy
cyning!	cyning	nsn	67	king
mid	mid	prep	68	with
Froncum	Froncan	ipn	68	the Franks
ic	ic	pn	68	I
wæs	wesan	psv	68	was
ond	ond	conj	68	and
mid	mid	prep	68	with
Frysum	Frēsan	dpn	68	the Frisians
ond	ond	conj	68	and
mid	mid	prep	68	with
Frumtingum.	Frumtingas	dpn	68	the Framtings
mid	mid	prep	69	with
Rugum	Rugas	dpn	69	the Rugi
ic	ic	pn	69	I
wæs	wesan	psv	69	was
ond	ond	conj	69	and
mid	mid	prep	69	with
Glommum	Glomman	dpn	69	the Glomman
ond	ond	conj	69	and
mid	mid	prep	69	with
Rumwalum.	Rumwalas	dpn	69	Rome-foreigners
Swylce	swylce	adv	70	likewise
ic	ic	pn	70	I
wæs	wesan	psv	70	was
on	on	prep	70	in
Eatule	Eatul	dsn	70	Italy
mid	mid	prep	70	with
Ælfwine,	Ælfwine	dsn	70	Ælfwine
se	se	dem.pn	71	that
hæfde	habban	pret.sv	71	had
moncynnes,	moncynn	gsn	71	mankind
mīne	mīn	adj	71	my
gefrǣge,	gefrǣge	isn	71	information (got by inquiry).
lēohteste	lēoht	adj	72	lightest
hond	hond	asn	72	hand
lofes	lof	gsn	72	praise
to	to	prep	72	to
wyrcenne,	wyrcan	dsn	72	earning
heortan	heorte	asn	73	heart
unhnēaweste	unhnēaw	adj	73	generous
hringa	hring	gpn	73	rings
gedāles,	gedāl	gsn	73	distributed
beorhtra	beorht	gpadj	74	bright
bēaga,	bēag	gpn	74	treasures
bearn	bearn	nsn	74	child
Eadwines.	Eadwine	asn	74	of Edwin
Mid	mid	prep	75	with
Sercingum	Sercingas	dpn	75	the Sercings
ic	ic	pn	75	I
wæs	wesan	psv	75	was
ond	ond	conj	75	and
mid	mid	prep	75	with
Seringum;	Seringas	dpn	75	the Serae
mid	mid	prep	76	with
Creacum	Creacas	ipn	76	the Greeks
ic	ic	pn	76	I
wæs	wesan	psv	76	was
ond	ond	conj	76	and
mid	mid	prep	76	with
Finnum	Finnas	ipn	76	the Finns
ond	ond	conj	76	and
mid	mid	prep	76	with
Casere,	Casere	dsn	76	Caesar
se	se	dem.pn	77	that
þe	þe	in	77	who
wīnburga	wīnburg	gpn	77	wine-borough
geweald	geweald	asn	77	authority
āhte,	āgan	pret.sv	77	possesed
wiolena	wiola	gpn	78	riches
ond	ond	conj	78	and
wilna,	willa	gpn	78	desirable things
ond	ond	conj	78	and
Wala	Walas	gpn	78	of the Romans
rīces.	rīce	gsn	78	realm
mid	mid	prep	79	with
Scottum	Scottas	dpn	79	the Irish
ic	ic	pn	79	I
wæs	wesan	psv	79	was
ond	ond	conj	79	and
mid	mid	prep	79	with
Peohtum	Peohtas	dpn	79	the Picts
ond	ond	conj	79	and
mid	mid	prep	79	with
Scridefinnum;	Scridefinnas	dpn	79	The Lapps
mid	mid	prep	80	with
Lidwicingum	Lidwicingas	dpn	80	the Lidwiccas
ic	ic	pn	80	I
wæs	wesan	psv	80	was
ond	ond	conj	80	and
mid	mid	prep	80	with
Leonum	Leonas	dpn	80	the Leonas
ond	ond	conj	80	and
mid	mid	prep	80	with
Longbeardum,	Longbeardan	dpn	80	The Langobards
mid	mid	prep	81	with
hæðnum	hæþen	dpn	81	heathens
ond	ond	conj	81	and
mid	mid	prep	81	with
hæleþum	hæleþ	dpn	81	heroes
ond	ond	conj	81	and
mid	mid	prep	81	with
Hundingum.	Hundingas	dpn	81	the Hundings
mid	mid	prep	82	with
Israhelum	Israhelas	dpn	82	the Israelites
ic	ic	pn	82	I
wæs	wesan	psv	82	was
ond	ond	conj	82	and
mid	mid	prep	82	with
Exsyringum,	Exsyringas	dpn	82	the Assyrians
mid	mid	prep	83	with
Ebreum	Ebreas	dpn	83	the Hebrews
ond	ond	conj	83	and
mid	mid	prep	83	with
Indeum	Indeas	dpn	83	THe Hindus
ond	ond	conj	83	and
mid	mid	prep	83	with
Egyptum.	Egypte	dpn	83	the Egyptians
mid	mid	prep	84	with
Moidum	Moide	dpn	84	the Moids
ic	ic	pn	84	I
wæs	wesan	psv	84	was
ond	ond	conj	84	and
mid	mid	prep	84	with
Persum	Perse	dpn	84	the Perse
ond	ond	conj	84	and
mid	mid	prep	84	with
Myrgingum,	Myrgingas	dpn	84	the Myrgings
ond	ond	conj	85	and
Mofdingum	Mofdingas	dpn	85	Mofdings
ond	ond	conj	85	and
Ongendmyrgingum	Ongendmyrgingas	dpn	85	the Ongendmyrgings
ond	ond	conj	86	and
mid	mid	prep	86	with
Amoþingum.	Amoþingas	dpn	86	the Amothings
mid	mid	prep	86	with
Eastþyringum	Eastþyringas	dpn	86	Thuringians
ic	ic	pn	86	I
wæs	wesan	psv	86	was
ond	ond	conj	87	and
mid	mid	prep	87	with
Eolum	Ilwan	dpn	87	the Ilwan
ond	ond	conj	87	and
mid	mid	prep	87	with
Istum	Iste	dpn	87	the Austrogoths
ond	ond	conj	87	and
Idumingum.	Idumingas	dpn	87	Idumings
ond	ond	conj	88	and
ic	ic	pn	88	I
wæs	wesan	psv	88	was
mid	mid	prep	88	with
Eormanrīce	Eormanrīc	dsn	88	Ermanric
ealle	eal	asn	88	all
þrāge,	þrāg	asn	88	time
þǣr	þǣr	adv	89	there
me	me	dsppn	89	me
Gotena	Gotan	gpn	89	the Goths
cyning	cyning	nsn	89	king
gōde	gōd	isn	89	good
dohte;	dugan	pret.sv	89	was generous
se	se	dem.pn	90	that
me	me	dsppn	90	me
bēag	bēag	asn	90	treasure
forgeaf	forgiefan	pret.sv	90	gave
burgwarena	burgwaran	gpn	90	townspeople
fruma,	fruma	n	90	first among
on	on	prep	91	in
þām	sē	dspn	91	that
siex	siex	num	91	six
hund	hund	num	91	hundred
wæs	wesan	psv	91	was
smǣtes	smǣte	adj	91	refined
goldes,	gold	gsn	91	gold
gescyred	gescyrian	ppv	92	reckoned
sceatta	sceatt	gpn	92	denarii
scillingrīme;	scillingrīm	dsn	92	shilling count
þone	sē	aspn	93	that
ic	ic	pn	93	I
Eadgilse	Eadgils	dsn	93	Eadgils
on	on	prep	93	in
ǣht	ǣht	asn	93	possession
sealde,	syllan	pret.sv	93	gave
mīnum	mīn	adj	94	my
hlēodryhtne,	hlēodryhten	dsn	94	lord protector
þā	þā	conj	94	when
ic	ic	pn	94	I
to	to	prep	94	to
ham	ham	asn	94	home
bicwom,	bicuman	pret.sv	94	came
lēofum	lēof	adj	95	dear
to	to	prep	95	to
lēane,	lēan	dsn	95	reward
þæs	þæs	conj	95	because
þe	þe	in	95	who
hē	hē	nsppn	95	he
me	me	dsppn	95	me
lond	longd	asn	95	land
forgeaf	forgiefan	pret.sv	95	gave up
mīnes	mīn	adj	96	my
fæder	fæder	gsn	96	father's
ēþel,	ēþel	asn	96	inherited land
frēa	frēa	n	96	king
Myrginga.	Myrgingas	gpn	96	of the Myrgings
ond	ond	conj	97	and
me	me	dsppn	97	me
þā	þā	adv	97	then
Ealhhild	Ealhhild	nsn	97	Ealhhild
ōþerne	ōþer	num	97	second
forgeaf	forgiefan	pret.sv	97	gave
dryhtcwēn	dryhtcwēn	n	98	queen of the army
duguþe,	duguþ	gsn	98	a body of royal fighting men
dohtor	dohtor	n	98	daughter
Eadwines.	Eadwine	gsn	98	of Edwin
Hyre	hē	gsn	99	her
lof	lof	asn	99	praise
lengde	lengan	pret.sv	99	stretched
geond	geond	prep	99	throughout
londa	lond	gpn	99	lands
fela,	fela	adj	99	many
þonne	þonne	conj	100	when
ic	ic	pn	100	I
be	bī	prep	100	with
songe	song	dsn	100	song
secgan	secgan	v	100	say
sceolde	sculan	pret.sv	100	would
hwær	hwær	adv	101	where
ic	ic	pn	101	I
under	under	prep	101	under
swegle	swegl	dsn	101	sky
sēlast	sēl	adj	101	best
wisse	witan	pret.sv	101	knew
goldhrodene	goldhroden	adj	102	gold-adorned
cwēn	cwēn	asn	102	queen
giefe	giefu	apn	102	gifts
bryttian.	bryttian	v	102	distribute
Ðonne	þonne	conj	103	then
wit	wit	pn	103	we two
Scilling	Scilling	nsn	103	Scilling
scīran	scīr	adj	103	clear
reorde	reord	gsn	103	voice
for	for	prep	104	before
uncrum	uncer	adj	104	our two
sigedryhtne	sigedryhten	dsn	104	victory-lord
song	song	asn	104	song
āhofan,	āhebban	pret.pv	104	raised
hlude	hlude	adv	105	loudly
bī	bī	prep	105	with
hearpan	hearpe	dsn	105	harp
hlēoþor	hlēoþor	n	105	song
swinsade,	swinsian	pret.sv	105	sing out
þonne	þonne	adv	106	then
monige	monig	adj	106	many
men,	monn	npn	106	men
mōdum	mōd	ipn	106	spirits
wlonce,	wlonc	adj	106	proud
wordum	word	ipn	107	words
sprēcan,	sprecan	pret.sv	107	spoke
þa	sē	nppn	107	they
þe	þe	in	107	who
wēl	wēl	adv	107	well
cuþan,	cunnan	pret.pv	107	knew
þæt	þæt	conj	108	that
hī	hē	npn	108	he
nǣfre	nǣfre	adv	108	never
song	song	asn	108	a song
sēllan	sēl	adj	108	good
ne	ne	negative	108	not
hȳrdon.	hȳran	pret.pv	108	heard
Ðonan	ðonan	adv	109	thence
ic	ic	pn	109	I
ealne	eal	asadj	109	all
geondhwearf	geondhweorfan	pret.sv	109	traverse
ēþel	ēþel	asn	109	fatherland
Gotena,	Gotan	gsn	109	of the Ostrogoths
sōhte	sēcan	pret.sv	110	sought
ic	ic	pn	110	I
gesīþa	gesīþ	apn	110	battle comrades
þa	sē	art	110	the
sēlestan;	sēl	art	110	best
a	None	None	111	None
þæt	sē	nsn	111	that
wæs	wesan	psv	111	were
innweorud	innweorud	n	111	native peoples
Earmanrīces.	Eormanrīc	dsn	111	Ermanric
Heðcan	Heðca	asn	112	Hache
sōhte	sēcan	pret.sv	112	sought
ic	ic	pn	112	I
ond	ond	conj	112	and
Beadecan	Beadeca	asn	112	Beadecan
ond	ond	conj	112	and
Herelingas,	Herelingas	apn	112	Herelingas
Emercan	Emerca	asn	113	Emerca
sōhte	sēcan	pret.sv	113	sought
ic	ic	pn	113	I
ond	ond	conj	113	and
Fridlan	Fridla	asn	113	Fridla
ond	ond	conj	113	and
Eastgotan,	Eastgota	asn	113	Ostrogotha
frōdne	frōd	adj	114	wise
ond	ond	conj	114	and
gōdne	gōd	adj	114	good
fæder	fæder	asn	114	father
Unwenes.	Unwen	gsm	114	of Unwen
Seccan	Secca	asn	115	Secca
sōhte	sēcan	pret.sv	115	sought
ic	ic	pn	115	I
ond	ond	conj	115	and
Beccan,	Becca	asn	115	Becca
Seafolan	Seafola	asn	115	Seafola
ond	ond	conj	115	and
þeodric,	þeodric	asn	115	Theodric
Heaþoric	Heaþoric	asn	116	Heathoric
ond	ond	conj	116	and
Sifecan,	Sifeca	asn	116	Sifeca
Hlīþe	Hlīþe	asn	116	Lotherus
ond	ond	conj	116	and
Incgenþeow.	Incgenþeow	asn	116	Incgenþeow
Eadwine	Eadwine	asn	117	Edwin
sōhte	sēcan	pret.sv	117	sought
ic	ic	pn	117	I
ond	ond	conj	117	and
Elsan,	Elsa	asn	117	Elsa
Ægelmund	Ægelmund	asn	117	Agelmund
ond	ond	conj	117	and
Hungar,	Hungar	asn	117	Hungar
ond	ond	conj	118	and
þā	sē	asn	118	the
wloncan	wlonc	adj	118	proud
gedryht	gedryht	asn	118	company
Wiþmyrginga.	Wiþmyrgingas	gpn	118	the Wiþmyrgings
Wulfhere	Wulfhere	asn	119	Wulfhere
sōhte	sēcan	pret.sv	119	sought
ic	ic	pn	119	I
ond	ond	conj	119	and
Wyrmhere;	Wyrmhere	asn	119	Wyrmhere
ful	ful	adv	119	very
oft	oft	adv	119	often
þǣr	þǣr	adv	119	there
wig	wig	nsn	119	warfare
ne	ne	negative	119	not
ālæg,	ālicgan	pret.sv	119	rest
þonne	þonne	conj	120	when
Hræda	Hræde	gsn	120	Hræde
here	here	nsn	120	army
heardum	heard	adj	120	hard
sweordum	sweord	ipn	120	swords
ymb	ymb	prep	121	about
Wistlawudu	Wistlawudu	gpn	121	The Wistle wood
wergan	wergan	v	121	defend
sceoldon	sculan	pret.pv	121	shall
ealdne	eal	adj	122	old
ēþelstōl	ēþelstōl	asn	122	ancestral land
Ætlan	Ætla	gsn	122	Atilla's
lēodum.	lēod	dpn	122	people
Rædhere	Rædhere	asn	123	Rædhere
sōhte	sēcan	pret.sv	123	sought
ic	ic	pn	123	I
ond	ond	conj	123	and
Rondhere,	Rondhere	asn	123	Rondhere
Rumstan	Rumstan	asn	123	Rumstan
ond	ond	conj	123	and
Gislhere,	Gislhere	asn	123	Gislaharius
Wiþergield	Wiþergield	asn	124	Wiþergield
ond	ond	conj	124	and
Freoþeric,	Freoþerīc	asn	124	Freoþeric
Wudgan	Wudga	asn	124	Wudga
ond	ond	conj	124	and
Haman;	Hama	asn	124	Hama
ne	ne	negative	125	not
wæran	wesan	ppv	125	were
þæt	sē	aspn	125	that
gesīþa	gesīþ	gpn	125	comrades in arms
þa	sē	npart	125	the
sǣmestan,	sǣmest	adj	125	worst
þēah	þēah	conj	126	although
þe	þe	in	126	who
ic	ic	pn	126	I
hȳ	hē	apn	126	he
anīhst	a-nīhst	adv	126	at the last
nemnan	nemnan	v	126	name
sceolde.	sculan	pret.sv	126	should
Ful	ful	adv	127	very
oft	oft	adv	127	often
of	of	prep	127	from
þām	sē	adj	127	that
hēape	hēap	dsn	127	company
hwīnende	hwīnan	ppv	127	whining
fleag	flēogan	pret.sv	127	fly
giellende	giellan	verb	128	yelling
gar	gar	n	128	spear
on	on	prep	128	in
grome	grom	adj	128	hostile
þēode;	þēod	asn	128	band
wræccan	wræcca	npn	129	wanderers
þǣr	þǣr	adv	129	there
weold	wealdan	ppv	129	ruled
wundnan	windan	past participle v	129	wound
golde	gold	isn	129	gold
werum	wer	ipn	130	men
ond	ond	conj	130	and
wīfum,	wīf	ipn	130	women
Wudga	Wudga	nsn	130	Wudga
ond	ond	conj	130	and
Hama.	Hama	nsn	130	Hama
Swā	swā	adv	131	thus
ic	ic	pn	131	I
þæt	sē	asn	131	that
symle	simle	adv	131	always
onfond	onfindan	pret.sv	131	found out
on	on	prep	131	in
þære	sē	adj	131	that
